icao,name,lat,lon,runway,heading
RKSI,인천국제공항,37.4691,126.4505,15L/33R,150
RKSI,인천국제공항,37.4691,126.4505,15R/33L,150
RKSI,인천국제공항,37.4691,126.4505,16L/34R,160
RKSI,인천국제공항,37.4691,126.4505,16R/34L,160
RKSS,김포국제공항,37.5583,126.7906,14L/32R,140
RKSS,김포국제공항,37.5583,126.7906,14R/32L,140
RKPK,김해국제공항,35.1795,128.9382,18L/36R,180
RKPK,김해국제공항,35.1795,128.9382,18R/36L,180
RKPC,제주국제공항,33.5113,126.4929,07/25,70
RKPC,제주국제공항,33.5113,126.4929,13/31,130
RKTN,대구국제공항,35.8941,128.6589,13L/31R,130
RKTN,대구국제공항,35.8941,128.6589,13R/31L,130
RKTU,청주국제공항,36.7166,127.4987,06L/24R,60
RKTU,청주국제공항,36.7166,127.4987,06R/24L,60
RKJJ,광주공항,35.1264,126.8089,04/22,40
RKJB,무안국제공항,34.9914,126.3828,01/19,10
