station,datetime,wdir,wspd,wpgt
47168,2013-01-07 01:00:00,320.0,7.6,
47168,2013-01-08 03:00:00,330.0,14.8,
47168,2013-01-14 22:00:00,320.0,9.4,
47168,2013-01-17 04:00:00,330.0,33.5,
47168,2013-02-04 00:00:00,160.0,3.6,
47168,2013-03-20 00:00:00,340.0,9.4,
47168,2013-05-09 22:00:00,40.0,16.6,
47168,2013-05-13 00:00:00,30.0,1.8,
47168,2013-05-28 00:00:00,190.0,22.3,
47168,2013-06-18 03:00:00,160.0,9.4,
47168,2013-06-25 11:00:00,90.0,3.6,
47168,2013-06-25 12:00:00,80.0,9.4,
47168,2013-06-25 13:00:00,90.0,9.4,
47168,2013-06-25 19:00:00,50.0,9.4,
47168,2013-07-04 09:00:00,110.0,9.4,
47168,2013-07-06 23:00:00,310.0,7.6,
47168,2013-07-07 04:00:00,180.0,5.4,
47168,2013-08-05 05:00:00,240.0,16.6,
47168,2013-08-22 03:00:00,350.0,3.6,
47168,2013-09-13 09:00:00,170.0,13.0,
47168,2013-09-14 01:00:00,310.0,29.5,
47168,2013-09-28 09:00:00,40.0,13.0,
47168,2013-11-02 07:00:00,150.0,13.0,
47168,2013-12-11 00:00:00,240.0,20.5,
47168,2013-12-19 01:00:00,310.0,31.7,
47168,2013-12-19 02:00:00,320.0,31.7,
47168,2013-12-20 09:00:00,310.0,9.4,
47168,2013-12-21 05:00:00,320.0,29.5,
