station,datetime,wdir,wspd,wpgt
47086,2023-01-01 00:00:00,353.0,24.5,
47101,2023-01-01 00:00:00,347.0,3.7,
47103,2023-01-01 00:00:00,4.0,34.2,
47104,2023-01-01 00:00:00,160.0,1.8,
47105,2023-01-01 00:00:00,274.0,14.8,
47106,2023-01-01 00:00:00,276.0,11.1,
47107,2023-01-01 00:00:00,243.0,13.3,
47108,2023-01-01 00:00:00,290.0,7.2,
47110,2023-01-01 00:00:00,290.0,3.6,
47111,2023-01-01 00:00:00,20.0,1.8,
47112,2023-01-01 00:00:00,329.0,15.1,
47113,2023-01-01 00:00:00,320.0,11.2,
47114,2023-01-01 00:00:00,0.0,0.0,
47115,2023-01-01 00:00:00,301.0,28.1,
47117,2023-01-01 00:00:00,306.0,9.4,
47118,2023-01-01 00:00:00,0.0,0.0,
47120,2023-01-01 00:00:00,318.0,10.4,
47122,2023-01-01 00:00:00,314.0,11.2,
47124,2023-01-01 00:00:00,297.0,9.7,
47125,2023-01-01 00:00:00,266.0,8.6,
47127,2023-01-01 00:00:00,254.0,1.8,
47128,2023-01-01 00:00:00,130.0,1.8,
47132,2023-01-01 00:00:00,140.0,1.8,
47133,2023-01-01 00:00:00,140.0,1.8,
47134,2023-01-01 00:00:00,247.0,9.4,
47136,2023-01-01 00:00:00,320.0,3.6,
47138,2023-01-01 00:00:00,240.0,13.0,
47139,2023-01-01 00:00:00,230.0,12.6,
47141,2023-01-01 00:00:00,100.0,7.0,
47142,2023-01-01 00:00:00,300.0,5.4,
47143,2023-01-01 00:00:00,200.0,1.8,
47146,2023-01-01 00:00:00,120.0,3.7,
47152,2023-01-01 00:00:00,290.0,9.4,
47153,2023-01-01 00:00:00,270.0,1.8,
47154,2023-01-01 00:00:00,277.0,10.1,
47156,2023-01-01 00:00:00,64.0,3.7,
47158,2023-01-01 00:00:00,34.0,7.2,
47159,2023-01-01 00:00:00,353.0,7.9,
47161,2023-01-01 00:00:00,137.0,4.7,
47163,2023-01-01 00:00:00,100.0,7.6,
47165,2023-01-01 00:00:00,355.0,11.2,
47166,2023-01-01 00:00:00,344.0,5.5,
47167,2023-01-01 00:00:00,297.0,10.1,
47168,2023-01-01 00:00:00,306.0,12.2,
47182,2023-01-01 00:00:00,300.0,11.2,
47184,2023-01-01 00:00:00,318.0,16.2,
47185,2023-01-01 00:00:00,337.0,15.1,
